name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
ethyl-dipropylthiocarbamate-s;759944;  189.32196	;  370	;  0.16	;  0.0045727	;  2.3802112417	;  3.0181	;  0.053481349327	;  5.6527760457e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.025	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-ether;60297;  74.1228	;  61000	;  540	;  0.0270205	;  0.88	;  1.0492	;  0.074	;  9.3e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.2	;  1.21	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1200	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-methacrylate;97632;  114.1442	;  19000	;  17.48	;  0.0066512	;  1.5682017241	;  1.7662	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.09	;  0.5	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-methanesulfonate;62500;  124.1544	;  69482.17881	;  0.02542924751	;  2.4854762391e-006	;  -0.60375163975	;  -0.6144777617	;  0.06936831319	;  8.7190357597e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.099	;  2.8e-005	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
aminobiphenyl-4-1-1-biphenyl-4-amine;92671;  169.2256	;  71.3759619	;  1.417830694e-005	;  1.8386746765e-006	;  3.2441590791	;  3.243267948	;  0.05248092738	;  6.8182049067e-006	;  1	; ;  0.02	;  	; ;  	;  	; ;  -	;  -	;  A	;  TRUE	;  6.1	;  -	;  -	;  -	;  0.1	;  0.5	;  0.017	;  0.94	;  2.3	;  0.063	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-tert-butyl-ether-2-ethyl-2-ethoxypropane;637923;  102.176	;  5030.868137	;  89.95625643	;  0.099931813444	;  1.5697460258	;  1.883250443	;  0.06949637492	;  7.339929232e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.001	;  0.3	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-1-hexanol-2;104767;  130.23	;  865.6	;  0.11	;  0.00087297	;  2.67404	;  2.72	;  0.057	;  6.7273738817e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.15	;  0.16	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-2-hexenal-2;645625;  126.2	;  584.8	;  1.52	;  0.0178751	;  2.153178	;  2.62	;  0.06	;  6.9121092387e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.15	;  0.16	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-2-methyl-benzene-1;611143;  120.19428	;  74.6	;  2.4758144126	;  0.21872467917	;  3.0316	;  3.53	;  0.0676	;  7.29e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.2	;  0.4	;  0	;  0.97	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-4-methyl-benzene-1;622968;  120.19428	;  94.85	;  2.9484698914	;  0.32747147088	;  3.0676	;  3.58	;  0.067	;  7.18e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.2	;  0.4	;  0	;  0.97	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethylene-dibromide;106934;  187.86176	;  4320	;  11	;  0.02934842	;  1.73	;  2.0106	;  0.0217	;  1.9e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  85	;  0.00022	;  -	;  0.0002	;  0	;  0.8	;  -	;  -	;  -	;  -	;  5e-005	;  -	; ;  154	; ;  -	;  -	;  1.4e-005	;  0.000335	;  0.000223	; 
ethylene-glycol;107211;  62.06844	;  1000000	;  0.07	;  2.4942e-006	;  -0.9	;  -1.1996	;  0.108	;  1.22e-005	;  1	; ;  -	;  -	; ;  24	;  24	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  2	;  0.026	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethylene-oxide;75218;  44.05316	;  383262.492	;  1320	;  0.0049235508	;  0.34242268082	;  -0.0454	;  0.104	;  1.45e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B1	;  TRUE	;  1.02	;  0.0001	;  -	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1.8	; ;  -	;  -	;  -	;  -	;  -	; 
ethylene-thiourea;96457;  102.16004	;  12000	;  0.0836	;  4.9884e-005	;  -0.66	;  -0.4907	;  0.0715	;  1.02e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.11	;  -	;  8e-005	;  0.005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethylenediamine;107153;  60.09892	;  7950000	;  11	;  7.19161e-008	;  0.673	;  -1.6184	;  0.152523	;  1.12e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.02	;  0.025	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  25	; ;  -	;  -	;  -	;  -	;  -	; 
aminopyridine-4;504245;  94.11604	;  76600	;  0.002	;  2.4427477575e-007	;  -0.3225	;  -0.1125	;  0.0802	;  1.08e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  2e-005	;  0.00025	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethylhexyl-acrylate-2;103117;  184.2778	;  13.74937857	;  0.05848312092	;  0.042873300852	;  4.0020293558	;  4.070955601	;  0.04678250648	;  5.7415761308e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.048	;  -	;  -	;  0.016	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
famphur;52857;  325.35	;  7060.992649	;  2.660093849e-008	;  6.7041383807e-011	;  1.1429932974	;  1.285707772	;  0.04020957087	;  5.308903559e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  3e-005	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
fensulfothion;115902;  308.35	;  40953.12886	;  0.0003446160408	;  1.4192896606e-007	;  2.4919125216	;  2.049471547	;  0.04043451845	;  5.3234730219e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
fenthion;55389;  278.32046	;  21.74	;  0.000138	;  2.1312939e-005	;  3.0415033505	;  3.059748806	;  0.04347262947	;  5.4191209709e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  7e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
fluoranthene;206440;  202.2554	;  0.26	;  8.13e-006	;  0.0003878481	;  4.69	;  4.933	;  0.0302	;  6.35e-006	;  1	; ;  0.01	;  0.66	; ;  880	;  880	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.04	;  -	;  0.13	;  0.89	;  0.36	;  1.5	;  7.3	;  8.9	;  -	;  -	; ;  -	; ;  -	;  -	;  0.3	;  0.37	;  0.37	; 
fluorene;86737;  166.2224	;  1.98	;  0.0032404409009	;  0.002643852	;  3.88	;  4.0155	;  0.0363	;  7.88e-006	;  1	; ;  0.01	;  0.66	; ;  120	;  120	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.04	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  1.3	;  14	;  14	; 
fluorine-soluble-fluoride;7782414;  37.996806	;  NA/reacts	;  760	;  -	;  2.1760912591	;  0.2228	;  -	;  -	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.06	;  0.0002	;  0.01	;  0.97	;  -	;  -	;  -	;  -	;  4	;  2	; ;  0.2	; ;  -	;  -	;  4	;  -	;  -	; 
fonofos;944229;  246.3337	;  14.58620222	;  0.342682749	;  0.31654851041	;  3.553499775	;  4.000918704	;  0.0465357588	;  5.5238091898e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
formaldehyde;50000;  30.02628	;  550000	;  3880	;  1.37181e-005	;  0.34	;  0.35	;  0.18	;  2e-005	;  1	; ;  0.0062	;  -	; ;  14	;  14	; ;  -	;  -	;  B1	;  TRUE	;  -	;  1.3e-005	;  0.2	;  0.0098044995918	;  0	;  0.8	;  0.0022	;  0.13	;  0.32	;  0.00022	;  -	;  -	; ;  0.92	; ;  -	;  -	;  -	;  -	;  -	; 
formic-acid;64186;  46.02568	;  1000000	;  41	;  0.000178751	;  -0.54	;  -0.4605	;  0.079	;  1.4e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  2	;  0.0094	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  9	; ;  -	;  -	;  -	;  -	;  -	; 
ammonia;7664417;  17.03052	;  531000	;  7470	;  0.01363496	;  0.49	;  0.229	;  0.259	;  6.93e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  -	;  0.1	;  0.01	;  0.2	;  0.001	;  -	;  -	;  -	;  -	;  -	; ;  35	; ;  -	;  -	;  -	;  -	;  -	; 
furan;110009;  68.07516	;  10000	;  600	;  0.224478	;  1.32	;  1.3627	;  0.104	;  1.2e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.001	;  0.028	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
furfural;98011;  96.08556	;  86000	;  2	;  0.00012471	;  0.44498385672	;  0.8322	;  0.0872	;  1.12e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.008	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  20	; ;  -	;  -	;  -	;  -	;  -	; 
glycidylaldehyde;765344;  72.06356	;  85500000	;  27	;  1.0828985e-005	;  0.96428444773	;  -0.1173	;  0.096369801192	;  1.1636187292e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  FALSE	;  -	;  -	;  0.0004	;  0.001	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
glyphosate;1071836;  169.07	;  12000	;  7.5e-008	;  5.8198e-011	;  -13.079205034	;  -1.6	;  0.0507	;  8.300748127e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.1	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
heptachlor;76448;  373.3207	;  0.18	;  0.000326	;  0.02440159	;  4.07	;  6.2065	;  0.0112	;  5.69e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  4.5	;  0.0013	;  0.0005	;  -	;  0.1	;  0.72	;  -	;  -	;  -	;  -	;  0.0004	;  -	; ;  0.5	; ;  3.8e-006	;  3.6e-006	;  2.6e-006	;  2.65e-006	;  1.77e-006	; 
heptachlor-epoxide;1024573;  389.3201	;  0.275	;  4.34e-006	;  0.0003446153	;  3.8594985582	;  4.9055	;  0.0132	;  4.23e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  9.1	;  0.0026	;  1.3e-005	;  -	;  0.1	;  0.72	;  -	;  -	;  -	;  -	;  0.0002	;  -	; ;  -	; ;  3.8e-006	;  3.6e-006	;  0.000159	;  0.0011	;  0.000723	; 
heptane-n;142825;  100.2034	;  2.664467995	;  40.69442693	;  83.70922462	;  3.8386768175	;  4.748423813	;  0.0654404991	;  7.0004845871e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.06	;  18	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  2000	; ;  -	;  -	;  -	;  -	;  -	; 
heptanoic-acid-n;111148;  130.1864	;  1695.274531	;  0.008844412219	;  3.7150185655e-005	;  -0.29967089458	;  2.988852994	;  0.05725380155	;  7.1279341502e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.5	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexachlorobenzene;118741;  284.784	;  0.006	;  1.23e-005	;  0.02223995	;  4.45	;  5.86	;  0.0542	;  5.91e-006	;  1	; ;  0.01	;  0.66	; ;  4178	;  4178	; ;  -	;  -	;  B2	;  TRUE	;  1.6	;  0.00046	;  0.0008	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.001	;  -	; ;  -	; ;  -	;  -	;  1.94e-005	;  1.98e-005	;  1.32e-005	; 
hexachlorobutadiene;87683;  260.762	;  2.55	;  0.177	;  0.993523	;  3.84	;  4.7172	;  0.0561	;  6.16e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.078	;  2.2e-005	;  0.0002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.00299	;  0.0036	;  0.0024	; 
aniline;62533;  93.12828	;  36000	;  0.669	;  5.8198e-005	;  0.96	;  1.076	;  0.07	;  8.3e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.0057	;  -	;  0.007	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  19	; ;  -	;  -	;  -	;  -	;  -	; 
acenaphthylene;208968;  152.19553	;  3.93	;  0.029	;  0.00473898	;  3.84	;  3.9362	;  0.0439	;  7.065e-006	;  1	; ;  0.01	;  0.66	; ;  120	;  120	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.06	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexachlorocyclohexane-alpha;319846;  290.83164	;  2	;  4.26e-005	;  0.0002822603	;  3.12	;  4.2586	;  0.0142	;  7.34e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  6.3	;  0.0018	;  0.008	;  -	;  0.04	;  0.97	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.000163	;  0.000413	;  0.000275	; 
hexachlorocyclohexane-beta;319857;  290.83164	;  0.542	;  4.9e-007	;  1.438322e-005	;  3.14	;  4.2586	;  0.0142	;  7.34e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  1.8	;  0.00053	;  -	;  -	;  0.04	;  0.91	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.00057	;  0.00145	;  0.000964	; 
hexachlorocyclohexane-delta;319868;  290.83	;  2.59	;  2.87e-005	;  0.000177	;  3.93	;  4	;  0.045	;  6.2e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  1.8	;  0.00051	;  0.0003	;  -	;  0.04	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexachlorocyclohexane-gamma;58899;  290.83164	;  5.75	;  3.72e-005	;  0.0001409223	;  3.04	;  4.2586	;  0.0142	;  7.34e-006	;  1	; ;  2e-005	;  -	; ;  240	;  240	; ;  -	;  -	;  B2	;  TRUE	;  1.3	;  -	;  0.0003	;  0.0005	;  0.04	;  0.97	;  -	;  -	;  -	;  -	;  0.0002	;  -	; ;  0.5	; ;  8e-005	;  0.00016	;  0.0002	;  0.002	;  0.00134	; 
hexachlorocyclohexane-techn;608731;  290.83164	;  43.5	;  0.000164	;  5.98608e-005	;  3.38	;  4.2586	;  0.0142	;  7.34e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  1.8	;  0.00051	;  -	;  -	;  0.04	;  0.97	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexachlorocyclopentadiene;77474;  273.78094	;  1.8	;  0.0732	;  0.715004	;  3.98	;  4.6253	;  0.0161	;  7.21e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  E	;  FALSE	;  -	;  -	;  0.006	;  0.0002	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.05	;  -	; ;  -	; ;  -	;  -	;  0.24	;  17	;  17	; 
hexachloroethane;67721;  236.74	;  50	;  0.472	;  0.1617073	;  3.26	;  4.0348	;  0.0025	;  6.8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.014	;  4e-006	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  10	; ;  -	;  -	;  0.0842	;  0.278	;  0.185	; 
hexachlorophene;70304;  406.90744	;  0.003	;  2.736e-012	;  2.53577e-009	;  7.3010299957	;  6.9221	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0003	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  5.31e-005	;  5.32e-005	;  3.55e-005	; 
hexachloropropylene;1888717;  248.7492	;  41.10851773	;  0.119281286	;  0.039395436153	;  4.0266756656	;  4.096028144	;  0.05635055718	;  7.1543865338e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.014	;  4e-006	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexane-n;110543;  86.17716	;  13	;  152	;  46.5584	;  2.68	;  3.288	;  0.2	;  7.77e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.06	;  0.2	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1800	; ;  -	;  -	;  -	;  -	;  -	; 
anthracene;120127;  178.2334	;  0.0434	;  2.546e-005	;  0.00461427	;  4.37	;  4.345	;  0.0324	;  7.74e-006	;  1	; ;  0.01	;  0.66	; ;  920	;  920	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.3	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  9.6	;  110	;  110	; 
hexanediol-1-6;629118;  118.1754	;  23381.69	;  0.00011	;  3.1418606e-008	;  0.7617118	;  0.7746	;  0.06578	;  7.816423234e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  5	;  18.4	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexanoic-acid;142621;  116.1596	;  11938.15843	;  0.0246	;  1.309455e-005	;  -1.29	;  2.0559	;  0.06198	;  7.6840043179e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.5	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexanone-2;591786;  100.1602	;  17937.73381	;  11.07107311	;  0.0033813004249	;  1.2529181053	;  1.483164674	;  0.06964688113	;  7.7530190526e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.06	;  0.004	;  0	;  0.66	;  -	;  -	;  -	;  -	;  -	;  -	; ;  41	; ;  -	;  -	;  -	;  -	;  -	; 
hexazinone;51235042;  252.3164	;  33000	;  2.0256663376e-007	;  8.6176702863e-011	;  1.5682017241	;  2.1528	;  0.05080993389	;  5.1143331701e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.033	;  0.005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hexylene-glycol-2-methyl-2-4-pentanediol;107415;  118.18	;  726702	;  0.074	;  6.57e-007	;  0.393	;  0.4	;  0.06572	;  7.7e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.3	;  0.00015	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
hydrazine;302012;  32.04516	;  341000000	;  14	;  7.1961885387e-008	;  -1	;  -1.4676	;  0.4164	;  1.9e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  3	;  0.0049	;  -	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1.3	; ;  -	;  -	;  -	;  -	;  -	; 
indene;95136;  116.16	;  390	;  1.3	;  0.0208	;  2.5	;  2.8	;  0.0682	;  7.97e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  0.003	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
indeno-1-2-3-cd-pyrene;193395;  276.33728	;  0.0037506666667	;  1.4e-010	;  2.851702e-006	;  6.54	;  6.697	;  0.019	;  5.66e-006	;  1	; ;  0.01	;  0.66	; ;  1460	;  1460	; ;  -	;  -	;  B2	;  TRUE	;  0.73	;  8.8e-005	;  -	;  -	;  0.13	;  0.89	;  1.9	;  4.2	;  20	;  380	;  -	;  -	; ;  -	; ;  -	;  -	;  4.4e-005	;  3.1e-005	;  3.1e-005	; 
isobutyl-alcohol;78831;  74.1228	;  94870	;  10	;  0.00049884	;  0.75	;  0.7675	;  0.086	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.3	;  0.152	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  300	; ;  -	;  -	;  -	;  -	;  -	; 
isobutylene-2-methyl-1-propene;115117;  56.11	;  238.56	;  1747.3	;  9.5611	;  2.034393	;  2.47	;  0.099	;  9.0844977848e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  -	;  4	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
anthraquinone-9-10;84651;  208.216	;  0.1219687353	;  3.830987874e-008	;  3.577196426e-006	;  3.0667684058	;  3.11952025	;  0.04805052759	;  6.2647982214e-006	;  1	; ;  	;  	; ;  	;  	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  -	;  0.1	;  0.5	;  	;  	;  	;  	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
isobutyric-acid;79312;  88.1	;  49645.66277	;  0.4519699093	;  2.4026890753e-005	;  -2.0485360433	;  1.148933436	;  0.07764366884	;  9.1689746414e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.5	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
isodrin;465736;  364.9114	;  0.01699352409	;  7.773506655e-005	;  0.091303491575	;  6.8374877383	;  6.819715975	;  0.03403732631	;  4.4931228612e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  170	;  0.049	;  3e-006	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
isophorone;78591;  138.20956	;  12000	;  0.41	;  0.0002573183	;  1.48	;  2.6179	;  0.0623	;  6.76e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.00095	;  -	;  0.2	;  0.023	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  140	; ;  -	;  -	;  0.084	;  0.6	;  0.6	; 
isopropyl-acetate;108214;  102.1328	;  21427.19639	;  44.31527576	;  0.011553665145	;  1.0204642869	;  1.189625315	;  0.07354472255	;  8.0020941936e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.07	;  -	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  950	; ;  -	;  -	;  -	;  -	;  -	; 
